Model,MAE,MSE,Precision,Recall,VI_users,VI_items
dc_DP,0.4936331109519145,0.4539125525485823,0.07758620689655173,0.5126436781609196,0.0954576811856904,0.0
dc_PY,0.4936331109519145,0.4539125525485823,0.07758620689655173,0.5126436781609196,0.0954576811856904,0.0
dc_GN,0.4942116569743519,0.45254052351706625,0.07931034482758621,0.521264367816092,0.305557057202298,0.11990871803897817
dc_DP_cov,0.4891978349232719,0.4535224777243996,0.07758620689655173,0.5040229885057471,0.19284212515144306,0.0
dc_PY_cov,0.4891978349232719,0.4535224777243996,0.07758620689655173,0.5040229885057471,0.19284212515144306,0.0
dc_GN_cov,0.4891978349232719,0.4535224777243996,0.07758620689655173,0.5040229885057471,0.19284212515144306,0.0
esbm_DP,0.4955975076056436,0.4540208944733872,0.06896551724137931,0.44080459770114944,1.16143970114982,0.8888085933128826
esbm_PY,0.49553665423854976,0.4511453965731856,0.07413793103448275,0.4896551724137931,1.2520150294608108,1.1298761559392907
esbm_GN,0.4948009214593244,0.45124443381156754,0.07586206896551725,0.4982758620689655,1.2441292526702434,1.1406205291251201
esbm_DP_cov,0.49658611428457083,0.45835133180605825,0.06896551724137931,0.44080459770114944,0.8613358870800508,0.9255612681189553
esbm_PY_cov,0.4952559378834734,0.4581019127115304,0.07241379310344828,0.4551724137931034,0.8742167772485123,0.9476424228278862
esbm_GN_cov,0.4963501847322608,0.45674655521826263,0.07241379310344828,0.4925287356321839,0.8613358870800508,0.9870662380795773
