Model,MAE,MSE,Precision,Recall,VI_users,VI_items
dc_DP,0.4990530294505714,0.4899283265451324,0.0882716049382716,0.357027728786988,0.0,0.13701020565002142
dc_PY,0.4990530294505714,0.4899283265451324,0.0882716049382716,0.357027728786988,0.0,0.13701020565002142
dc_GN,0.4990530294505714,0.4899283265451324,0.0882716049382716,0.357027728786988,0.0,0.13701020565002142
dc_DP_cov,0.49553787092848783,0.48802308021166757,0.09012345679012347,0.3674872623946698,0.05930118027496671,0.14084378490900412
dc_PY_cov,0.49553787092848783,0.48802308021166757,0.09012345679012347,0.3674872623946698,0.05930118027496671,0.14084378490900412
dc_GN_cov,0.4961048107435455,0.4884055706968546,0.08950617283950617,0.36440084264158334,0.2218604492966881,0.14084378490900412
esbm_DP,0.5042893617357612,0.4997044539083673,0.08333333333333333,0.3312977660199883,1.2994664547668526,1.6120828612937088
esbm_PY,0.5041690598531822,0.499892192780164,0.08333333333333333,0.33104056437389767,1.2994664547668526,1.5850076203835506
esbm_GN,0.5048610186104429,0.49981741783276934,0.08456790123456791,0.33116059180873997,1.2994664547668526,1.5748699260038148
esbm_DP_cov,0.5023612776680022,0.4964687691850633,0.08765432098765433,0.34818734077993335,1.3002982392706883,1.4990272332045063
esbm_PY_cov,0.5026928225740876,0.49696899395723376,0.08765432098765433,0.34979913776210075,1.3002982392706883,1.5292364531043379
esbm_GN_cov,0.5026777459525494,0.49606826347963456,0.09012345679012347,0.35267979619831474,1.3002982392706883,1.4871049507879468
